Мои 3-граммы	NLTK 3-граммы
миссис мак ки	— Да ,
мистер мак ки	, Ник ,
э э э	, что я
подолы белоснежных платьев	, если бы
бьющая край жизненная	, что он
край жизненная энергия	, и я
одному богу известно	, что она
доктора т дж	мисс Бейкер ,
т дж эклберга	том , что
пепельно серые призраки	— Ну ,
второй половине дня	, — сказал
которого прозвали петером	миссис Вильсон ,
своей обычной манере	, а потом
сходила нему ума	казалось , что
само собой разумеется	— О ,
джордж б вильсон	то , что
тех пор пока	, — сказала
особа нью йорке	, что это
несколько дней человек	, да ,
казался бесконечным жажда	до сих пор
бесконечным жажда познания	посмотрела на меня
жажда познания утолена	, при этом
сохранил памяти мысленно	— Послушай ,
памяти мысленно возвращался	в том ,
позволявшая подбирать ключи	, я бы
подбирать ключи самым	, ну ,
ключи самым запутанным	, казалось ,
самым запутанным лабиринтам	по крайней мере
натур сложных неординарных	Ты же знаешь
жертвой зануд откровенно	миссис Мак-Ки. —
